Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
The Croods: A New Age,False,"['Family', 'Fantasy', 'Animation', 'Comedy']",65000000,1041.759,7.5,1904,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",The future ain't what it used to be.,135076090,2020-11-25,95,en
Coming 2 America,False,['Comedy'],60000000,790.491,6.9,1163,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",A sequel is in the heir.,0,2021-03-05,110,en
Mortal Kombat Legends: Scorpion's Revenge,False,"['Animation', 'Action', 'Fantasy']",0,1020.953,8.4,824,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",,0,2020-04-12,80,en
Occidente,False,['Thriller'],0,719.326,3.5,2,"A fugitive film director in exile, called H, returns to the industrial city of which he fled in the past, in a time and place unknown. Gloria, the working woman who loved and left behind lives subjected to routine. But H, unable to adapt, convince her to run away together to a place that no one remembers the outside of civilization.",,0,2019-11-05,99,es
Aquaslash,False,"['Horror', 'Comedy']",0,724.164,4.0,45,"To celebrate their graduation, the teenagers from Valley Hills High School have organized an ’80s-themed party at the old Wet Valley water park. Things turn gruesome when it's revealed that a mysterious maniac has inserted giant razor blades into one of the water slides. The water park thus becomes the backdrop for a bloodbath (literally), and everyone is a suspect...",Your killer vacation awaits,0,2019-07-29,72,en
Soul,False,"['Family', 'Animation', 'Comedy', 'Drama', 'Music', 'Fantasy']",150000000,797.49,8.3,5579,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Is all this living really worth dying for?,57400000,2020-12-25,101,en
Honest Thief,False,"['Thriller', 'Action', 'Crime', 'Drama']",0,687.937,6.6,766,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",Never steal a man's second chance.,29404235,2020-09-03,99,en
Tentacles,False,"['Horror', 'Fantasy', 'Drama', 'TV Movie']",0,627.694,6.5,65,"A young Los Angeles couple Tara and Sam fall head over heels into a new romance, entwining their lives — until their intimacy transforms into something terrifying.",,0,2021-02-12,84,en
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),False,"['Action', 'Crime']",75000000,751.912,7.1,7280,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Mind Over Mayhem,201858461,2020-02-05,109,en
Godzilla: King of the Monsters,False,"['Science Fiction', 'Action']",170000000,677.368,6.7,3927,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Long live the king.,386600138,2019-05-29,132,en
The Unholy,False,['Horror'],20000000,815.043,6.0,18,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",Be careful who you pray to.....,0,2021-03-31,99,en
Guerra de Likes,False,['Comedy'],0,615.125,7.9,180,"In order to advance her career in the dynamic world of publicity in Mexico City, Raquel tries to reunite with her high school friend Cecy who has become the queen of social media. But unlike followers, friendships do not come instantly.",,0,2021-03-12,103,es
El robo del siglo,False,"['Comedy', 'Thriller', 'Crime']",0,593.944,7.9,478,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",The Story Of The Theft That Made History,0,2020-01-16,114,es
Ava,False,"['Action', 'Crime', 'Drama', 'Thriller']",0,640.072,5.7,1434,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,Kill. Or be killed.,2987741,2020-07-02,97,en
Tenet,False,"['Action', 'Thriller', 'Science Fiction']",205000000,590.846,7.3,4901,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Time runs out.,363129000,2020-08-22,150,en
