Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage 
UFC 261: Usman vs. Masvidal 2,False,['Action'],0,0.0,0.0,0,Usman vs. Masvidal,,0,2021-04-24,0,en,"[['Ultimate Fighting Championship', '']]",['US'],['en']
Mother Noose Presents Once Upon a Nightmare,False,['Horror'],10000,4.157,0.0,0,"From the sick minds that brought you Frankenthug and Room for Rent, comes their next tale of TERROR; Mother Noose presents Once Upon a Nightmare, an anthology of twisted fairy tales! Join Mother Noose as she corrupts your mind with a sinister tales for Cinderella, mutilates your sense with a HORRENDOUS rendition of Hansel and Gretel and TEARS your soul apart with The Three Little Pigs. Erin Brown (Masters of Horror), Jezibell Anat (Arte Factum: Legends) and Jon Devlin (Joe Stryker) star in the 4th film by indie horror ICON Richard Tanner. Sit back, relax, and poke a hole in the bottom of your popcorn bucket because once these tales get started there is no happy ending.",Stories to Die For,0,2021-04-24,106,en,"[['A Buck Short Productions', ''], ['Wages of Cine', '']]",[],[]
Black Bear,False,"['Drama', 'Comedy', 'Thriller']",0,12.136,7.0,68,"At a remote lake house in the Adirondack Mountains, a couple entertains an out-of-town guest looking for inspiration in her filmmaking. The group quickly falls into a calculated game of desire, manipulation, and jealousy, unaware of how dangerously intertwined their lives will soon become.",,0,2020-12-04,106,en,"[['Blue Creek Pictures', 'US'], ['Oakhurst Entertainment', 'US'], ['Tandem Pictures', 'US']]",['US'],"['en', 'es']"
반도,False,"['Action', 'Horror', 'Thriller']",17000000,286.903,7.0,1364,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,Escape the apocalypse.,39657073,2020-07-15,116,ko,"[['Next Entertainment World', 'KR'], ['RedPeter Film', 'KR'], ['Vantage Holdings', 'KR']]",['KR'],"['en', 'ko']"
Z-O-M-B-I-E-S 2,False,"['Music', 'Romance', 'TV Movie']",0,21.298,8.0,349,"Zed and Addison are back at Seabrook High, where, after a groundbreaking semester, they continue to steer both their school and community toward unity. But the arrival of a new group of outsiders – mysterious werewolves – threatens to shake up the newfound peace and causes a rift in Zed and Addison’s budding romance.",There's a new pack in town,0,2020-02-14,84,en,"[['Disney Channel', 'US']]",['US'],['en']
Herself,False,['Drama'],0,8.516,7.2,22,"Struggling to provide her daughters with a safe, happy home, Sandra decides to build one - from scratch. Using all her ingenuity to make her ambitious dream a reality, Sandra draws together a community to lend a helping hand to build her house and ultimately recover her own sense of self.",Life under construction,0,2020-11-26,97,en,"[['Element Pictures', 'IE'], ['BBC Films', 'GB'], ['Merman', 'GB'], ['Amazon Studios', 'US']]","['IE', 'GB']",['en']
The Empty Man,False,"['Horror', 'Crime', 'Drama']",0,64.565,6.5,131,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",The first night you hear him. The second night you see him. The third night he finds you.,4176641,2020-10-22,137,en,"[['BOOM! Studios', 'US'], ['20th Century Studios', 'US']]","['FR', 'US']",['en']
बंटी बबली 2,False,[],0,2.339,0.0,0,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,,0,2021-04-23,150,hi,"[['Yash Raj Films', 'IN']]",['IN'],['hi']
Captains of Za'atari,False,['Documentary'],0,1.4,0.0,0,"Like many young people around the world, best friends Fawzi and Mahmoud are obsessed with soccer. But for the past several years, the teenagers have been stuck in Zaatari, the world’s largest camp for Syrian refugees, located in Jordan. With uncertain legal status and an interrupted education, their prospects are limited. On the local soccer pitch, however, they can imagine a brighter future as professional athletes, a path to escaping the camp and providing for their families. When scouts from a world-renowned Qatari sports academy visit Zaatari, Fawzi and Mahmoud believe they might be able to realize their dreams—if given the opportunity.",,0,2021-01-31,73,ar,[],['EG'],['ar']
Dealing with Death,False,['Documentary'],0,0.724,0.0,0,"Funeral director Anita, a white Dutch woman, is tasked with finding out which rituals her new multicultural funeral home in a suburb of Amsterdam has to facilitate. But the more Anita sees and learns, the more she begins to have her doubts. Do these diverse communities actually need her? Navigating between two worlds, Anita also has to deal with death in her own circle, causing her to ask herself new questions.",,0,2020-11-20,74,nl,"[['Witfilm', 'NL']]",['NL'],"['en', 'nl']"
Silk Road,False,"['Crime', 'Thriller', 'Drama']",0,11.319,6.9,33,"The true story of Ross Ulbricht, the charismatic young tech-mastermind who unleashed the darknet website Silk Road, and the corrupt DEA agent determined to bring down his billion-dollar empire.",A mastermind is a terrible thing to waste.,0,2021-02-19,116,en,"[['Piccadilly Pictures', ''], ['High Frequency Entertainment', ''], ['Perfect Season Productions', ''], ['Lionsgate', 'US'], ['Mutressa Movies', 'US']]",['US'],['en']
140 km à l'ouest du paradis,False,['Documentary'],0,1.4,0.0,0,"In the heart of Papua New Guinea, the Highlands which attract tourists in search of exoticism, has also attracted foreign oil companies. This is where tribes who are paid to dance gather every year and the place where a Huli family and their clan in their quest for modernity have agreed to sell their land to ExxonMobil. But the money never comes... Caught between rival tribes, greedy politicians and one of the world's most powerful multinationals, they realise their land is being stolen from under their feet. A world quietly disappears while only a few kilometres away tourists take snap shots of dances that have become meaningless.",,0,2020-11-10,85,fr,"[['New Story', '']]",['FR'],['fr']
מה היה קורה אילו? אהוד ברק על מלחמה ושלום,False,['Documentary'],0,0.6,0.0,0,"Can a leader succeed in influencing the world? Or is he, as any other human being, only a nutshell tossed to the waves of history with no ability to affect it? Tolstoy pondered this question in War and Peace. Ehud Barak, controversial former prime minister and a decorated commander on the battlefield, contemplates it in this film. Twenty years after he was forced to resign from the premiership due to the failure of the 2000 Camp David summit, 78-year-old Barak observes his own history and the history of the State of Israel with disillusioned clarity, while trying to figure it all out - ""What if?""",,0,2020-12-12,85,he,"[['Ruth Films', '']]",['IL'],['he']
Captains of Za'atari,False,['Documentary'],0,1.4,0.0,0,"Like many young people around the world, best friends Fawzi and Mahmoud are obsessed with soccer. But for the past several years, the teenagers have been stuck in Zaatari, the world’s largest camp for Syrian refugees, located in Jordan. With uncertain legal status and an interrupted education, their prospects are limited. On the local soccer pitch, however, they can imagine a brighter future as professional athletes, a path to escaping the camp and providing for their families. When scouts from a world-renowned Qatari sports academy visit Zaatari, Fawzi and Mahmoud believe they might be able to realize their dreams—if given the opportunity.",,0,2021-01-31,73,ar,[],['EG'],['ar']
2 Hearts,False,"['Drama', 'Romance']",0,15.836,8.5,96,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",Discover the mystery that connects them all.,0,2020-10-16,100,en,"[['Silver Lion Films', 'US']]",['US'],['en']
Sabaya,False,['Documentary'],0,1.4,6.0,1,"With just a mobile phone and a gun, Mahmud, Ziyad and their group risk their lives trying to save Yazidi women and girls being held by ISIS as Sabaya (abducted sex slaves) in the most dangerous camp in the Middle East, Al-Hol in Syria.",,0,2021-01-30,90,ku,"[['Lolav Media', ''], ['Ginestra Film', '']]",['SE'],['ku']
劇場版 BanG Dream! Episode of Roselia I: 約束,False,"['Animation', 'Music']",0,2.843,0.0,0,"Yukina Minato gathers members intertwined with different thoughts to form a band and participate at the Future World Fes. This is the story of their ""promise"" from their formation to the challenge of the music festival.",,0,2021-04-23,0,ja,"[['Bushiroad', ''], ['Sanzigen', '']]",['JP'],['ja']
荒野咖啡馆,False,['Drama'],0,1.162,0.0,0,"Three years ago, Han Yuanfang, a young girl, left hometown with a slap on the face from her father and became a barista in Shanghai. Three years later, she returns to the town located in the west of China, making a living as a toll station employee. Living in suburbia, Han meets ebullient girl Dali and clumsy St. John. The three young people share their secrets during their free time. Three restless hearts rush to the future fearlessly.",,0,2020-07-27,108,zh,[],['CN'],['zh']
Here We Move Here We Groove,False,['Documentary'],0,1.228,0.0,0,"In an as stirring as hopeful music story Dj Robert Soko, who came to fame with his Balkan Beats, embraces musical influences from newcomers in multicultural Europe.",,0,2020-11-24,92,en,"[['DOXY Films', '']]",['NL'],"['ar', 'bs', 'el', 'de', 'fa', 'sr', 'fr', 'hr', 'sh']"
Bloodthirsty,False,['Horror'],0,10.781,0.0,0,"When indie singer Grey struggles to write her sophomore album, she teams up with a mysterious producer at his secluded cabin. Though their bond strengthens her music, it also starts to irreparably alter Grey’s body and mind.",,0,2021-04-23,82,en,"[['775 Media Corp', 'CA'], ['Voice Pictures', '']]",[],[]
Legacy,False,"['Action', 'Thriller']",0,7.832,6.6,68,"While on a hunting trip in the isolated wilderness, a father and his adopted teenage son are turned into the prey of unknown assailants. They are unexpectedly joined in their fight for survival by a stranger who reveals the disturbing truth about the son's biological father, an international crime lord, and why that crime lord has sent trained assassins to kill the teenager.",,0,2020-05-28,98,en,"[['Premiere Entertainment Group', 'US'], ['Sharp House', ''], ['BadHouse Studios, LLC', '']]",['US'],"['en', 'es']"
Death of Nintendo,False,"['Comedy', 'Drama']",0,7.964,0.0,0,"The story takes us into the colorful pop-culture world of these four 13-year old friends, back in the days when video games were still a novelty. Mimaw and her friends Paolo, Kachi and Gilligan go on a journey of self-discovery together as they play games and wrestle with new dilemmas – puppy love, circumcision and other horror stories.",,0,2020-02-22,99,en,"[['IndieFlip', 'US'], ['Black Sheep', '']]","['PH', 'US']",['tl']
बंटी बबली 2,False,[],0,2.339,0.0,0,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,,0,2021-04-23,150,hi,"[['Yash Raj Films', 'IN']]",['IN'],['hi']
Я не сплю,False,"['Horror', 'Thriller']",0,5.103,5.6,10,"A young woman, Mila, is kidnapped by a mysterious and dangerous organization known as Recreation.  Forced to stay awake and under constant surveillance, Mila must fight for control of her own mind.",Control is only a state of mind,0,2020-10-08,83,ru,[],['RU'],['ru']
반도,False,"['Action', 'Horror', 'Thriller']",17000000,286.903,7.0,1364,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,Escape the apocalypse.,39657073,2020-07-15,116,ko,"[['Next Entertainment World', 'KR'], ['RedPeter Film', 'KR'], ['Vantage Holdings', 'KR']]",['KR'],"['en', 'ko']"
The Empty Man,False,"['Horror', 'Crime', 'Drama']",0,64.565,6.5,131,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",The first night you hear him. The second night you see him. The third night he finds you.,4176641,2020-10-22,137,en,"[['BOOM! Studios', 'US'], ['20th Century Studios', 'US']]","['FR', 'US']",['en']
Black Bear,False,"['Drama', 'Comedy', 'Thriller']",0,12.136,7.0,68,"At a remote lake house in the Adirondack Mountains, a couple entertains an out-of-town guest looking for inspiration in her filmmaking. The group quickly falls into a calculated game of desire, manipulation, and jealousy, unaware of how dangerously intertwined their lives will soon become.",,0,2020-12-04,106,en,"[['Blue Creek Pictures', 'US'], ['Oakhurst Entertainment', 'US'], ['Tandem Pictures', 'US']]",['US'],"['en', 'es']"
Herself,False,['Drama'],0,8.516,7.2,22,"Struggling to provide her daughters with a safe, happy home, Sandra decides to build one - from scratch. Using all her ingenuity to make her ambitious dream a reality, Sandra draws together a community to lend a helping hand to build her house and ultimately recover her own sense of self.",Life under construction,0,2020-11-26,97,en,"[['Element Pictures', 'IE'], ['BBC Films', 'GB'], ['Merman', 'GB'], ['Amazon Studios', 'US']]","['IE', 'GB']",['en']
"Oxente, Bixiga!",False,[],0,4.364,0.0,0,no synopsis.,,0,2021-04-23,0,en,[],[],[]
Perfume Imaginary Museum “Time Warp”,False,['Music'],0,0.6,10.0,1,"When the world had to stay home, they brought their concert online. Immersive, candy-sweet and cutting edge, Warp into it.",,0,2020-09-21,53,ja,"[['Amuse, Inc.', 'JP'], ['Universal Music Group', 'US']]",['JP'],['ja']
സന്തോഷത്തിന്റെ ഒന്നാം രഹസ്യം,False,['Drama'],0,1.565,8.0,1,"Maria, a young journalist, and Jithin, an aspiring actor, are in a live-in relationship without the knowledge of their parents. Set in the backdrop of the covid pandemic, this relationship drama reveals the nuances of an intense dispute and unreasoned maneuvers that the couple adapt in the intimate relationship.",,0,2021-02-21,85,ml,"[['Bee Cave Movies Pvt Ltd.', '']]",['IN'],['ml']
White People Money,False,['Comedy'],0,3.964,0.0,0,"MacKenzie Scott, the ex-wife of multi-billionaire Jeff Bezos, pledges to give away 15 billion dollars to 15 winners. Kareem will do anything to get his hands on that money, and when he wins, he will do anything to keep it a secret.",Certified True,0,2021-04-23,0,en,[],[],[]
Héroes: Silencio y Rock & roll,False,['Documentary'],0,4.956,0.0,0,,,0,2021-04-23,0,es,[],['ES'],['es']
HAN,False,['Drama'],0,2.321,0.0,0,"HIM consists of three separate stories in one film. Harald (11) is a boy who constantly falls outside the group. He is not recognized either by friends, school or parents. Emil (30) is unemployed, he is angry and looks down on everyone else. Petter (60) is a Norwegian renowned scriptwriter who wants to make a film about the national hero Fridtjof Nansen. Two men and one boy, one day in Oslo, whom all experiences a social and emotional fall. The film discusses the male role in the contemporary Norway.","HIM tours tragedy with comedy, and is about exclusion, abuse and the male role",0,2021-03-19,85,no,"[['Alternativet Produksjon AS', 'NO']]",['NO'],"['no', 'sv']"
Un blues para Teherán,False,"['Documentary', 'Music']",0,0.73,0.0,0,"Different faces show us an Iran where tradition and modernity coexist and confront each other. Erfan Shafei invites us to discover a country through its music and its people. Erfan is a funny and ironic young kurdish man who wants to become a film director. He sings, writes poetry, lives with his parents and his parrot, but knows nothing about love...","In Iran, tradition and modernity coexist and confront each other.",0,2020-11-26,80,es,"[['Eddie Saeta', 'ES'], ['Quatre Films', '']]",['ES'],"['es', 'ku', 'fa']"
Zerø,False,[],0,2.488,0.0,0,,,0,2021-04-23,0,es,[],[],[]
Super 8 Self Portrait,False,['Documentary'],0,0.6,0.0,0,"""Me in my room in Frankfurt, ca. 1997. I used to throw knives at the painting in the background."" –T.F.",,0,1998-01-01,1,de,[],['DE'],['xx']
Songbird,False,"['Thriller', 'Romance', 'Drama', 'Mystery']",0,30.959,6.3,217,"During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",The only way out is together.,0,2020-12-10,85,en,"[['Invisible Narratives', 'US'], ['Catchlight Films', 'US'], ['Platinum Dunes', 'US'], ['STX Films', 'US']]",['US'],['en']
אסיה,False,['Drama'],0,148.891,0.0,0,Asia is the single mother of 17-year-old Vika. Vika's deteriorating health urges Asia to finally find her voice as a mother and to embrace and cherish their time together.,,0,2021-04-23,85,he,"[['Gum Films', '']]",['IL'],"['he', 'ru']"
Al morir la matinée,False,"['Drama', 'Horror']",0,1.803,6.5,10,"In the 90s, everything seems to point that an almost absent cinema will be in peace. But the rain brings a silent killer to the auditorioum. So, the young girl assigned with the screening must confront this menace in order to protect the safety of the public and her own life.",One theater. Its last screening. No room to escape.,0,2020-09-03,88,es,"[['Yukoh Films', ''], ['Pensa&Rocca Cine', '']]","['AR', 'UY']",['es']
Beneath the Planet of the Apes,False,"['Adventure', 'Science Fiction', 'Mystery']",3000000,14.772,6.2,817,"During a rescue mission to locate missing astronaut George Taylor, John Brent crash lands on the Planet of the Apes. Brent, along with Taylor's companion, find he has disappeared into an underground city known as the Forbidden Zone, and they attempt to track him down.",Now civilization's final battle between man and ape is about to begin.,18999718,1970-04-23,95,en,"[['APJAC Productions', ''], ['20th Century Fox', 'US']]",['US'],['en']
Conquest of the Planet of the Apes,False,"['Action', 'Science Fiction']",1700000,11.281,6.2,561,"In a futuristic world that has embraced ape slavery, Caesar—the son of the late simians Cornelius and Zira—surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,9700000,1972-06-29,88,en,"[['APJAC Productions', ''], ['20th Century Fox', 'US']]",['US'],['en']
Romeo & Juliet,False,"['Music', 'Romance', 'TV Movie']",0,16.696,0.0,0,An adaptation of Shakespeare's tragedy set in modern-day Italy where two young lovers strive to transcend a violent world where Catholic and secular values clash.,,0,2021-04-04,90,en,"[['Cuba Pictures', 'GB'], ['The National Theatre', ''], ['Sabel Productions', '']]",['GB'],['en']
Ο Άνθρωπος του Θεού,False,"['History', 'Drama']",0,1.4,0.0,0,"Exiled unjustly, convicted without trial, slandered without cause. Man of God depicts the trials and tribulations of Saint Nektarios of Aegina, as he bears the unjust hatred of his enemies while preaching the Word of God.",,0,2021-04-23,110,el,"[['2|35', 'GR'], ['Cinnamon Production', 'RS'], ['DNA LAB', '']]",['GR'],"['en', 'el']"
Амурская голгофа,False,['Documentary'],0,1.4,0.0,0,,,0,2021-04-23,0,ru,[],['RU'],['ru']
女たち,False,['Drama'],0,1.4,0.0,0,"Misaki lives in a rural town situated among lush, green mountains beneath a clear blue sky. Despite graduating from a university in Tokyo, she was unable to find the job she hoped for due to the lack of employment opportunities that befell her generation. Just about everything has gone badly for her and now she is on the verge of turning 40. However, she has dreams of marrying her aging, handicapped mother Mitsuko's care worker, Naoki, who pays visits to their home. Her clandestine meetings with Naoki are one of Misaki's oases from Mitsuko's harsh day-to-day verbal abuse. The other is the bee farm run by her childhood friend Kaori. The honey Kaori diligently works to make is sweet, mild, and soothing. But then Misaki is cruelly betrayed by Naoki. And Kaori abruptly dies. These events drive Misaki's heart to the brink of bursting. ""Why did she have to die? """,,0,2021-04-23,97,ja,[],['JP'],['ja']
#DOGPOOPGIRL,False,['Comedy'],0,1.4,0.0,0,"A sad satire about the Internet age. A Romanian echo of the famous story of the first high-profile case of online bullying. In 2005, a dog happened to make a pile in the Seoul subway. For some unknown reason, the owner of the dog refused to clean up the poop. The crime of the dog and the inexplicable inaction of the lady was recorded on camera and caused a huge online scandal.",,0,2021-04-23,0,ro,"[['Diud Film', ''], ['DaKINO Production', 'RO']]",['RO'],['ro']
தலைவி,False,['Drama'],0,5.32,0.0,0,"Biopic on Jayalalithaa, the actress turned politician who served five terms as the Chief Minister for the Indian state of Tamil Nadu.",,0,2021-04-23,0,ta,"[['Vibri Media Karma Media And Entertainment', '']]",['IN'],"['hi', 'ta', 'te']"
Dime Cuándo Tú,False,"['Drama', 'Romance']",0,5.012,6.0,3,"After his grandfather's death, a young man decides to fulfill his elder's last wish with the help of his new friends. The problem starts when he falls in love with a female friend who may not feel the same.",☑ Sing  ☑  Get drunk  ☑ Make friends ☐ Fall in love,0,2020-09-18,96,es,[],['MX'],['es']
Perfume Imaginary Museum “Time Warp”,False,['Music'],0,0.6,10.0,1,"When the world had to stay home, they brought their concert online. Immersive, candy-sweet and cutting edge, Warp into it.",,0,2020-09-21,53,ja,"[['Amuse, Inc.', 'JP'], ['Universal Music Group', 'US']]",['JP'],['ja']
"Oxente, Bixiga!",False,[],0,4.364,0.0,0,no synopsis.,,0,2021-04-23,0,en,[],[],[]
Songbird,False,"['Thriller', 'Romance', 'Drama', 'Mystery']",0,30.959,6.3,217,"During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",The only way out is together.,0,2020-12-10,85,en,"[['Invisible Narratives', 'US'], ['Catchlight Films', 'US'], ['Platinum Dunes', 'US'], ['STX Films', 'US']]",['US'],['en']
Legacy,False,"['Action', 'Thriller']",0,7.832,6.6,68,"While on a hunting trip in the isolated wilderness, a father and his adopted teenage son are turned into the prey of unknown assailants. They are unexpectedly joined in their fight for survival by a stranger who reveals the disturbing truth about the son's biological father, an international crime lord, and why that crime lord has sent trained assassins to kill the teenager.",,0,2020-05-28,98,en,"[['Premiere Entertainment Group', 'US'], ['Sharp House', ''], ['BadHouse Studios, LLC', '']]",['US'],"['en', 'es']"
אסיה,False,['Drama'],0,148.891,0.0,0,Asia is the single mother of 17-year-old Vika. Vika's deteriorating health urges Asia to finally find her voice as a mother and to embrace and cherish their time together.,,0,2021-04-23,85,he,"[['Gum Films', '']]",['IL'],"['he', 'ru']"
Dime Cuándo Tú,False,"['Drama', 'Romance']",0,5.012,6.0,3,"After his grandfather's death, a young man decides to fulfill his elder's last wish with the help of his new friends. The problem starts when he falls in love with a female friend who may not feel the same.",☑ Sing  ☑  Get drunk  ☑ Make friends ☐ Fall in love,0,2020-09-18,96,es,[],['MX'],['es']
Mortal Kombat,False,"['Fantasy', 'Action', 'Adventure']",20000000,404.965,7.5,8,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",Get over here.,0,2021-04-07,110,en,"[['Atomic Monster', 'US'], ['Broken Road Productions', 'US'], ['New Line Cinema', 'US'], ['Warner Bros. Pictures', 'US'], ['South Australian Film Corporation', 'AU'], ['NetherRealm Studios', '']]","['AU', 'US']",['en']
Sous les étoiles de Paris,False,"['Drama', 'Comedy']",0,4.233,8.0,1,"Christine’s life has not been easy lately. Her lonely routine is divided between free food banks distributions and wandering the streets. On a cold winter night she founds Suli, an 8-year-old Eritrean boy, sobbing in front of her shelter. Christine understands that he is lost and has been separated from his mother. Bounded by their marginal condition, they embark together on an emotional journey to find Suli’s mother in the underground world of Paris...",,0,2020-10-28,86,fr,"[['Arches Films', 'FR'], ['Maneki Films', 'FR']]",['FR'],['fr']
るろうに剣心 最終章 The Final,False,[],0,12.942,0.0,0,"The wandering swordsman will return for his final battle. Warner Brothers Japan announced that a two-part ""Final Chapter"" from the live-action film adaptation project based on Nobuhiro Watsuki's action jidaigeki manga series.",,0,2021-04-23,0,ja,[],['JP'],['ja']
A Love Yarn,False,"['Comedy', 'Romance', 'TV Movie']",0,2.792,0.0,0,,,0,2021-04-22,0,fr,[],['US'],['en']
Brutal Bridesmaids,False,"['Thriller', 'TV Movie']",0,9.529,5.3,2,One of Jessica's five bridesmaids is trying to sabotage her wedding day.,Dealing with bridesmaids can be killer.,0,2020-10-15,0,en,[],['US'],['en']
Perinbaba a dva svety,False,"['Family', 'Fantasy']",0,3.601,0.0,0,"Lukáš, Alžbetka's son, takes off into the world looking for happiness and love. His godmother, the celestial Lady Winter, keeps an eye on him. He arrives late in the fairy-tale land that she leads him to. Fear reigns where once cakes grew on trees. The miraculous ram has disappeared and the royal town is cursed. Lukáš has to decide what is closer to his heart: a fortune or love?",,0,2021-04-15,0,sk,"[['Slovenská produkčná', 'SK'], ['Studio 727', 'SK'], ['J&J JAKUBISKO FILM EUROPE Production s.r.o.', 'SK']]",['SK'],['sk']
Любовь и монстры,False,['Comedy'],0,12.257,0.0,0,"The warm sea, the hot sun, the burning beauty in police uniform and a bottle of wine are all that Yura Skvortsov needs when he arrives at the resort to heal his wounds. Of course, in any resort there is a dead season. But only here, in Bulgaria, it comes literally. First, the English dog disappears, then the lion, and then even a few tourists disappear altogether ... Yura will have to defend her right to life and love in a fierce battle with unknown monsters that threaten all life. Fortunately, invincible monsters show one weakness: alcohol is poison for them!",,0,2021-04-22,84,ru,"[['Dixy-TV', 'RU']]",['RU'],['ru']
Spionen,False,['Thriller'],0,4.111,6.5,15,"Sonja Wigert, Scandinavia's most acclaimed female movie star, enlists as a spy for Swedish intelligence but ends up becoming entangled with the German Reichskommissar Terboven.",Based on the incredible and true story of Sonja Wigert,0,2019-10-18,110,no,"[['4 1/2', 'NO'], ['B-Reel Films', 'SE'], ['Nordisk Film', 'SE'], ['Film i Väst', 'SE'], ['SCOPE Pictures', 'BE']]",['NO'],"['no', 'de', 'sv', 'en', 'pl']"
"Gump – pes, který naučil lidi žít",False,"['Family', 'Adventure']",0,4.071,0.0,0,,,0,2021-04-15,0,cs,[],['CZ'],['cs']
"Ганзель, Гретель и Агентство Магии",False,"['Animation', 'Comedy', 'Fantasy']",0,716.17,7.3,72,"The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",,0,2021-03-18,104,ru,"[['CTB Film Company', 'RU'], ['Wizart Animation', 'RU'], ['QED International', 'US']]","['RU', 'US']","['en', 'pt', 'ru', 'fr']"
Heroes of the Ocean,False,['Documentary'],0,1.96,0.0,0,Oceanographer Sylvia Earle and a cast of marine scientists tell the story of the incredible work being done to protect our oceans fragile ecosystem.,,0,2021-04-22,44,en,"[['National Geographic', 'US']]",[],['en']
Кольская сверхглубокая,False,"['Horror', 'Science Fiction', 'Thriller']",0,10.722,6.2,16,"The film is based on real events when, in the 1970s, the deepest well in the world with a depth of more than 12 thousand meters was drilled in Murmansk Region for research purposes. During drilling, seismic sensors began to pick up strange sounds, an explosion occurred that led to mystical events.",,0,2020-11-04,113,ru,"[['TrioFilm', 'RU']]",['RU'],"['en', 'ru']"
Money Plane,False,"['Action', 'Crime']",0,10.227,5.8,220,A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,An explosive casino heist in the sky,0,2020-09-29,82,en,"[[""Dawn's Light"", 'US'], ['Taylor & Dodge', 'US']]",['US'],['en']
Judas and the Black Messiah,False,"['Drama', 'History']",26000000,113.449,7.5,339,Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,You can kill a revolutionary but you can't kill the revolution.,4181000,2021-02-12,125,en,"[['Warner Bros. Pictures', 'US'], ['MACRO', 'US'], ['Bron Studios', 'CA'], ['Participant Media', 'US']]",['US'],['en']
Six Minutes to Midnight,False,['Drama'],0,12.934,6.1,39,Summer 1939. Influential families in Nazi Germany have sent their daughters to a finishing school in an English seaside town to learn the language and be ambassadors for a future looking National Socialist. A teacher there sees what is coming and is trying to raise the alarm. But the authorities believe he is the problem.,Britain 1939. Hitler's grip is tightening. No-one can be trusted.,0,2020-10-15,99,en,"[['Mad as Birds', 'GB'], ['West Madison Entertainment', 'US'], ['Ella Communications', '']]",['GB'],['en']
Adventures of Rufus: The Fantastic Pet,False,"['Adventure', 'Family', 'Fantasy']",0,15.932,0.0,0,"At his grandmother's house, Scott and his friend Emily meet Rufus, a swashbuckling, furry creature who begs them to help restore his fading kingdom. Wizard Abbott's spell book contains the magic healing formula - but Abbott's ancient nemesis Lilith, posing as Grandmother's servant, wants the book too! To save Rufus' magical world, Scott and Emily must face many exciting challenges...",,0,2021-04-22,82,en,"[['Ace Entertainment', 'FR']]","['FR', 'US']",['en']
Shortcut,False,"['Horror', 'Adventure', 'Fantasy']",1400000,6.288,6.4,52,A group of five classmates is trapped inside their school bus after a mysterious creature invade the road. Time runs and every passing minute decreases their survival chances against the constant threats of that unknown entity.,Not every road leads you home,0,2020-09-25,80,en,"[['Play Entertainment', ''], ['Camaleo', ''], ['Sternenberg Films', ''], ['Mad Rocket Entertainment', ''], ['Regione Lazio', 'IT']]","['DE', 'IT']",['en']
Boys from County Hell,False,"['Comedy', 'Horror']",3000000,5.866,7.6,10,"A crew of hardy road workers, led by a bickering Father and Son, must survive the night when they accidentally awaken an ancient Irish vampire.",,0,2020-04-20,90,en,"[['Six Mile Hill Productions', ''], ['Blinder Films', 'IE'], ['Media Finance Capital', 'GB']]",['IE'],['en']
Assault on VA-33,False,"['Action', 'Thriller']",0,29.52,7.3,11,"Decorated veteran and PTSD sufferer, Jason Hill meets his wife, Jennifer, for lunch at the Veteran's Affairs hospital where she works. After Jennifer is called away for an emergency consultation with the head of US Military's Joint Chiefs of Staff, the hospital is taken hostage by heavily armed terrorists. Jason becomes the last line of defense and must battle the terrorists and his own PTSD induced demons to save his wife, the General, the hospital's staff and patients.",The battlefield comes home,0,2021-04-02,86,en,"[['DeInstitutionalized', ''], ['BD Films', '']]",['US'],['en']
